,Title,Author,Rating,Link,Number_of_pages,Original_title,Average_rating,Total_ratings,Total_reviews,Genre
0,The Guest List,"Foley, Lucy",4,https://www.goodreads.com/book/show/52656911-the-guest-list,319 pages,The Guest List,3.91,44742,6388,"Mystery,Thriller,Fiction,Thriller,Mystery Thriller"
1,Better: A Surgeon's Notes on Performance,"Gawande, Atul",4,https://www.goodreads.com/book/show/213233.Better,273 pages,Better: A Surgeon's Notes on Performance,4.24,26490,2003,"Nonfiction,Health,Medicine,Medical,Science,Health,Autobiography,Memoir"
2,And Then There Were None,"Christie, Agatha",5,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None,264 pages,Ten Little Niggers,4.26,777941,31303,"Mystery,Classics,Fiction,Mystery,Crime,Thriller,Thriller,Mystery Thriller,Audiobook,Adult,Suspense,Novels"
3,"The Murder of Roger Ackroyd (Hercule Poirot, #4)","Christie, Agatha",5,https://www.goodreads.com/book/show/16328.The_Murder_of_Roger_Ackroyd,288 pages,The Murder of Roger Ackroyd,4.25,142760,10036,"Mystery,Fiction,Classics,Mystery,Crime,Thriller,Mystery Thriller"
4,The Song of Achilles,"Miller, Madeline",5,https://www.goodreads.com/book/show/11250317-the-song-of-achilles,352 pages,The Song of Achilles,4.35,200085,24892,"Historical,Historical Fiction,Fantasy,Fiction,Fantasy,Mythology,LGBT,Romance"
5,Recursion,"Crouch, Blake",5,https://www.goodreads.com/book/show/42046112-recursion,336 pages,Recursion,4.17,90538,12913,"Science Fiction,Fiction,Thriller,Science Fiction,Time Travel"
6,"Acceptance (Southern Reach, #3)","VanderMeer, Jeff",0,https://www.goodreads.com/book/show/18077752-acceptance,341 pages,Acceptance,3.58,43121,4520,"Science Fiction,Fiction,Horror,Fantasy"
7,"Murder on the Orient Express (Hercule Poirot, #10)","Christie, Agatha",5,https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express,347 pages,Murder on the Orient Express,4.17,359566,22710,"Mystery,Classics,Fiction,Mystery,Crime,Thriller,Mystery Thriller,Audiobook,Mystery,Detective,Thriller,Adult,European Literature,British Literature"
8,"Death on the Nile (Hercule Poirot, #17)","Christie, Agatha",5,https://www.goodreads.com/book/show/131359.Death_on_the_Nile,214 pages,Death on the Nile,4.11,116465,5068,"Mystery,Fiction"
9,"Authority (Southern Reach, #2)","VanderMeer, Jeff",4,https://www.goodreads.com/book/show/18077769-authority,341 pages,Authority,3.51,56671,5929,"Science Fiction,Fiction,Horror,Fantasy"
10,The Kite Runner,"Hosseini, Khaled",4,https://www.goodreads.com/book/show/77203.The_Kite_Runner,371 pages,The Kite Runner,4.3,2367232,72088,"Fiction,Historical,Historical Fiction,Contemporary,Classics,Novels,Historical,Literature,Adult,Adult Fiction,Drama"
11,A Prayer for Owen Meany,"Irving, John",3,https://www.goodreads.com/book/show/4473.A_Prayer_for_Owen_Meany,637 pages,A Prayer for Owen Meany,4.23,282799,13594,"Fiction,Classics,Contemporary,Literature"
12,"Black Wave: Saudi Arabia, Iran, and the Forty-Year Rivalry That Unraveled Culture, Religion, and Collective Memory in the Middle East","Ghattas, Kim",4,https://www.goodreads.com/book/show/43565323-black-wave,400 pages,Black Wave,4.45,740,123,"History,Nonfiction,Politics,Cultural,Iran,Religion,Religion,Islam"
13,The Martian,"Weir, Andy",4,https://www.goodreads.com/book/show/18007564-the-martian,369 pages,The Martian,4.4,789866,72045,"Science Fiction,Fiction,Audiobook,Adventure,Space,Adult,Science Fiction Fantasy,Thriller,Humor,Adventure,Survival"
14,"Annihilation (Southern Reach, #1)","VanderMeer, Jeff",3,https://www.goodreads.com/book/show/17934530-annihilation,195 pages,Annihilation,3.7,148185,17088,"Science Fiction,Fiction,Horror,Fantasy"
15,Superior: The Return of Race Science,"Saini, Angela",5,https://www.goodreads.com/book/show/42042093-superior,256 pages,Superior: The Return of Race Science,4.27,1623,228,"Nonfiction,Science,Race,History,Politics,Sociology"
16,All the Light We Cannot See,"Doerr, Anthony",5,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see,531 pages,All the Light We Cannot See,4.33,979771,74027,"Historical,Historical Fiction,Fiction,Historical,War,War,World War II,Adult,Audiobook,Cultural,France,Book Club,Adult Fiction"
17,Where the Crawdads Sing,"Owens, Delia",5,https://www.goodreads.com/book/show/36809135-where-the-crawdads-sing,384 pages,Where the Crawdads Sing,4.48,825476,76942,"Fiction,Historical,Historical Fiction,Mystery,Audiobook,Adult,Book Club,Adult Fiction,Romance,Historical,Young Adult,Coming Of Age"
18,The Grapes of Wrath,"Steinbeck, John",4,https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath,479 pages,The Grapes of Wrath,3.97,733370,16722,"Classics,Fiction,Historical,Historical Fiction,Literature"
19,East of Eden,"Steinbeck, John",5,https://www.goodreads.com/book/show/4406.East_of_Eden,601 pages,East of Eden,4.38,418651,18862,"Classics,Fiction"
20,The Old Man and the Sea,"Hemingway, Ernest",4,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea,96 pages,The Old Man and the Sea,3.78,806093,24258,"Classics,Fiction,Literature"
21,Crime and Punishment,"Dostoyevsky, Fyodor",4,https://www.goodreads.com/book/show/7144.Crime_and_Punishment,671 pages,Преступление и наказание,4.22,605495,18323,"Cultural,Russia,Literature,Literature,Russian Literature"
22,Of Mice and Men,"Steinbeck, John",4,https://www.goodreads.com/book/show/890.Of_Mice_and_Men,103 pages,Of Mice and Men,3.87,1901241,33213,"Classics,Fiction,Academic,School,Literature,Historical,Historical Fiction"
23,1984,"Orwell, George",2,https://www.goodreads.com/book/show/40961427-1984,237 pages,Nineteen Eighty-Four,4.18,3028144,67120,"Classics,Fiction"
24,A Thousand Splendid Suns,"Hosseini, Khaled",5,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,372 pages,A Thousand Splendid Suns,4.37,1119640,52894,"Fiction,Historical,Historical Fiction,Contemporary,Novels,Historical,War,Adult Fiction,Adult,Drama,Literature"
25,"The Da Vinci Code (Robert Langdon, #2)","Brown, Dan",2,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,489 pages,The Da Vinci Code,3.85,1888697,46499,"Fiction,Mystery,Thriller"
26,"The Handmaid's Tale (The Handmaid's Tale, #1)","Atwood, Margaret",4,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,314 pages,The Handmaid's Tale,4.11,1405025,68519,"Fiction,Classics,Science Fiction,Dystopia,Science Fiction,Feminism"
27,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","Rowling, J.K.",5,https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire,734 pages,Harry Potter and the Goblet of Fire,4.56,2512587,44868,"Fantasy,Young Adult,Fiction"
28,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","Rowling, J.K.",5,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,652 pages,Harry Potter and the Half-Blood Prince,4.57,2366033,38090,"Fantasy,Young Adult,Fiction,Fantasy,Magic,Childrens,Adventure,Audiobook,Childrens,Middle Grade,Science Fiction Fantasy,Classics"
29,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","Rowling, J.K.",5,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,870 pages,Harry Potter and the Order of the Phoenix,4.5,2432010,40812,"Fantasy,Young Adult,Fiction"
30,"Catching Fire (The Hunger Games, #2)","Collins, Suzanne",5,https://www.goodreads.com/book/show/6148028-catching-fire,391 pages,Catching Fire,4.29,2435121,95653,"Young Adult,Science Fiction,Dystopia,Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Teen,Apocalyptic,Post Apocalyptic,Action"
31,"Mockingjay (The Hunger Games, #3)","Collins, Suzanne",3,https://www.goodreads.com/book/show/7260188-mockingjay,390 pages,Mockingjay,4.04,2282097,102870,"Young Adult,Science Fiction,Dystopia,Fiction,Fantasy,Science Fiction"
